type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:amsterdam;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.946216106414795,260,4875,15
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^paris$;FinalNodeRegex:milan;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['paris'],"[""('marseille', 'lyon')"", ""('milan', 'zurich')""]",1.0,1.8381867408752441,260,4876,14
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:milan;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.714019536972046,261,4876,13
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:milan;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,5.750016927719116,262,4876,12
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:london;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.971002578735352,263,4876,11
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$;FinalNodeRegex:london;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,2.0,['marseille'],"[""('paris', 'lyon')"", ""('milan', 'zurich')""]",1.0,2.4663214683532715,263,4877,10
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:london;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.634101629257202,264,4877,9
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^lyon$;FinalNodeRegex:praha;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['lyon'],"[""('warsaw', 'kiev')"", ""('budapest', 'bratislava')""]",1.0,1.504664659500122,264,4878,8
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:praha;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,5.0225324630737305,265,4878,7
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:praha;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,5.853391170501709,266,4878,6
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^zurich$|^strasbourg$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,3.0,['strasbourg'],"[""('geneva', 'basel')"", ""('brussels', 'frankfurt')""]",1.0,1.945784568786621,266,4879,5
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^zurich$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['zurich'],"[""('geneva', 'zurich')"", ""('strasbourg', 'basel')""]",1.0,3.299323081970215,266,4880,4
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.043391227722168,267,4880,3
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$|^milan$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,3.0,"['marseille', 'milan']","[""('paris', 'lyon')"", ""('geneva', 'basel')""]",2.0,1.3788444995880127,267,4882,1
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.553898572921753,268,4882,0
